task2          	580.000000	580.000000	1598.000000	1018.000000	
task1          	287.000000	287.000000	1728.000000	1441.000000	
task4          	1191.000000	1191.000000	2096.000000	905.000000	
task3          	883.000000	1598.000000	3152.000000	1554.000000	
task7          	2107.000000	2107.000000	3213.000000	1106.000000	
task5          	1485.000000	3213.000000	4210.000000	997.000000	
task6          	1798.000000	4210.000000	5291.000000	1081.000000	
task8          	2392.000000	4210.000000	5824.000000	1614.000000	
task10         	2985.000000	4210.000000	5943.000000	1733.000000	
task14         	4219.000000	5291.000000	6435.000000	1144.000000	
task9          	2691.000000	5291.000000	6862.000000	1571.000000	
task15         	4527.000000	5824.000000	7208.000000	1384.000000	
task17         	5091.000000	6435.000000	7251.000000	816.000000	
task11         	3296.000000	7251.000000	8503.000000	1252.000000	
task12         	3605.000000	8503.000000	9625.000000	1122.000000	
task13         	3892.000000	9625.000000	10320.000000	695.000000	
task16         	4804.000000	10320.000000	10934.000000	614.000000	
task18         	5429.000000	10934.000000	11779.000000	845.000000	
task27         	8099.000000	10320.000000	11970.000000	1650.000000	
task31         	9292.000000	11779.000000	12479.000000	700.000000	
task19         	5741.000000	11779.000000	12661.000000	882.000000	
task38         	11456.000000	12479.000000	13226.000000	747.000000	
task20         	6025.000000	12661.000000	14304.000000	1643.000000	
task21         	6324.000000	14304.000000	15300.000000	996.000000	
task22         	6617.000000	15300.000000	16608.000000	1308.000000	
task23         	6909.000000	16608.000000	17984.000000	1376.000000	
task29         	8690.000000	16608.000000	18228.000000	1620.000000	
task30         	8996.000000	17984.000000	18816.000000	832.000000	
task42         	12703.000000	18228.000000	18864.000000	636.000000	
task52         	15663.000000	17984.000000	18952.000000	968.000000	
task53         	15962.000000	18816.000000	19475.000000	659.000000	
task24         	7219.000000	19475.000000	20076.000000	601.000000	
task25         	7532.000000	20076.000000	20803.000000	727.000000	
task26         	7815.000000	20803.000000	22549.000000	1746.000000	
task39         	11755.000000	22549.000000	24181.000000	1632.000000	
task28         	8376.000000	22549.000000	24242.000000	1693.000000	
task32         	9589.000000	24242.000000	25214.000000	972.000000	
task44         	13305.000000	24181.000000	25395.000000	1214.000000	
task56         	16815.000000	24242.000000	25629.000000	1387.000000	
task61         	18268.000000	25395.000000	26544.000000	1149.000000	
task33         	9883.000000	25214.000000	26865.000000	1651.000000	
task80         	23929.000000	26544.000000	27203.000000	659.000000	
task51         	15373.000000	26865.000000	27563.000000	698.000000	
task34         	10204.000000	27563.000000	28452.000000	889.000000	
task35         	10524.000000	28452.000000	29332.000000	880.000000	
task36         	10862.000000	29332.000000	30454.000000	1122.000000	
task48         	14479.000000	30454.000000	31737.000000	1283.000000	
task37         	11149.000000	30454.000000	31953.000000	1499.000000	
task69         	20744.000000	30454.000000	31975.000000	1521.000000	
task40         	12072.000000	31953.000000	33279.000000	1326.000000	
task55         	16553.000000	31737.000000	33534.000000	1797.000000	
task41         	12382.000000	33279.000000	34304.000000	1025.000000	
task66         	19806.000000	33534.000000	34326.000000	792.000000	
task43         	13002.000000	34326.000000	35135.000000	809.000000	
task59         	17699.000000	35135.000000	36463.000000	1328.000000	
task45         	13605.000000	35135.000000	36503.000000	1368.000000	
task46         	13874.000000	36503.000000	37187.000000	684.000000	
task64         	19190.000000	36463.000000	37883.000000	1420.000000	
task47         	14171.000000	37187.000000	38633.000000	1446.000000	
task49         	14771.000000	38633.000000	40040.000000	1407.000000	
task50         	15073.000000	40040.000000	41291.000000	1251.000000	
task75         	22463.000000	40040.000000	41806.000000	1766.000000	
task54         	16260.000000	41291.000000	42185.000000	894.000000	
task86         	25695.000000	41806.000000	42502.000000	696.000000	
task57         	17124.000000	42185.000000	43394.000000	1209.000000	
task58         	17388.000000	43394.000000	44043.000000	649.000000	
task81         	24262.000000	44043.000000	44998.000000	955.000000	
task60         	17963.000000	44043.000000	45260.000000	1217.000000	
task94         	28060.000000	44998.000000	45761.000000	763.000000	
task62         	18551.000000	45761.000000	46377.000000	616.000000	
task63         	18883.000000	46377.000000	47651.000000	1274.000000	
task65         	19491.000000	47651.000000	48996.000000	1345.000000	
task67         	20151.000000	48996.000000	50623.000000	1627.000000	
task82         	24554.000000	48996.000000	50701.000000	1705.000000	
task68         	20431.000000	50623.000000	51855.000000	1232.000000	
task70         	21041.000000	51855.000000	52537.000000	682.000000	
task71         	21304.000000	52537.000000	54326.000000	1789.000000	
task72         	21610.000000	54326.000000	55584.000000	1258.000000	
task90         	26902.000000	55584.000000	56827.000000	1243.000000	
task73         	21905.000000	55584.000000	57066.000000	1482.000000	
task74         	22189.000000	57066.000000	58175.000000	1109.000000	
task76         	22757.000000	58175.000000	59292.000000	1117.000000	
task77         	23042.000000	59292.000000	59897.000000	605.000000	
task78         	23343.000000	59897.000000	60923.000000	1026.000000	
task79         	23629.000000	60923.000000	61547.000000	624.000000	
task83         	24848.000000	61547.000000	62919.000000	1372.000000	
task84         	25121.000000	62919.000000	64699.000000	1780.000000	
task85         	25402.000000	64699.000000	65694.000000	995.000000	
task87         	25992.000000	65694.000000	67251.000000	1557.000000	
task88         	26303.000000	65694.000000	67416.000000	1722.000000	
task89         	26601.000000	67416.000000	68721.000000	1305.000000	
task91         	27194.000000	68721.000000	69944.000000	1223.000000	
task92         	27495.000000	69944.000000	71212.000000	1268.000000	
task93         	27783.000000	71212.000000	72829.000000	1617.000000	
task95         	28354.000000	72829.000000	73577.000000	748.000000	
task97         	28931.000000	73577.000000	74459.000000	882.000000	
task96         	28633.000000	73577.000000	75117.000000	1540.000000	
task98         	29269.000000	75117.000000	76762.000000	1645.000000	
task99         	29555.000000	76762.000000	77879.000000	1117.000000	
task100        	29861.000000	77879.000000	79275.000000	1396.000000	
