# Simbatch result for 12.out
task1	0.000000	0.000000	1462.000000	1462.000000
task2	307.000000	1462.000000	2368.000000	906.000000
task3	587.000000	2368.000000	4055.000000	1687.000000
task4	895.000000	4055.000000	4779.000000	724.000000
task5	1181.000000	4779.000000	5771.000000	992.000000
task6	1478.000000	5771.000000	7549.000000	1778.000000
task7	1767.000000	5771.000000	7364.000000	1593.000000
task8	2100.000000	7549.000000	8871.000000	1322.000000
task9	2399.000000	8871.000000	10036.000000	1165.000000
task10	2690.000000	10036.000000	11156.000000	1120.000000
task11	2995.000000	11156.000000	12179.000000	1023.000000
task12	3323.000000	12179.000000	13541.000000	1362.000000
task13	3624.000000	13541.000000	14298.000000	757.000000
task14	3928.000000	14298.000000	14937.000000	639.000000
task15	4242.000000	14298.000000	15625.000000	1327.000000
task16	4549.000000	14937.000000	16484.000000	1547.000000
task17	4860.000000	16484.000000	17493.000000	1009.000000
task18	5171.000000	17493.000000	19235.000000	1742.000000
task19	5477.000000	19235.000000	20553.000000	1318.000000
task20	5794.000000	19235.000000	20443.000000	1208.000000
task21	6096.000000	20553.000000	22331.000000	1778.000000
task22	6385.000000	20553.000000	22203.000000	1650.000000
task23	6664.000000	20553.000000	21340.000000	787.000000
task24	6964.000000	22331.000000	23526.000000	1195.000000
task25	7276.000000	21340.000000	22631.000000	1291.000000
task26	7546.000000	21340.000000	22361.000000	1021.000000
task27	7849.000000	22631.000000	23577.000000	946.000000
task28	8167.000000	23577.000000	25177.000000	1600.000000
task29	8465.000000	25177.000000	26705.000000	1528.000000
task30	8787.000000	26705.000000	28498.000000	1793.000000
task31	9083.000000	28498.000000	29166.000000	668.000000
task32	9415.000000	28498.000000	29142.000000	644.000000
task33	9737.000000	29166.000000	30890.000000	1724.000000
task34	10011.000000	30890.000000	31903.000000	1013.000000
task35	10303.000000	30890.000000	32580.000000	1690.000000
task36	10605.000000	32580.000000	33380.000000	800.000000
task37	10900.000000	32637.000000	34062.000000	1425.000000
task38	11219.000000	31903.000000	32637.000000	734.000000
task39	11522.000000	34062.000000	35303.000000	1241.000000
task40	11816.000000	35303.000000	36192.000000	889.000000
task41	12118.000000	35303.000000	36373.000000	1070.000000
task42	12386.000000	35303.000000	36418.000000	1115.000000
task43	12691.000000	35303.000000	37102.000000	1799.000000
task44	12974.000000	36418.000000	38196.000000	1778.000000
task45	13264.000000	36373.000000	37451.000000	1078.000000
task46	13554.000000	38492.000000	39724.000000	1232.000000
task47	13868.000000	37451.000000	38492.000000	1041.000000
task48	14166.000000	39724.000000	41091.000000	1367.000000
task49	14444.000000	41091.000000	42104.000000	1013.000000
task50	14734.000000	41091.000000	42234.000000	1143.000000
task51	15026.000000	42104.000000	42791.000000	687.000000
task52	15317.000000	42791.000000	44389.000000	1598.000000
task53	15605.000000	42234.000000	43696.000000	1462.000000
task54	15881.000000	44389.000000	45802.000000	1413.000000
task55	16175.000000	45802.000000	47118.000000	1316.000000
task56	16469.000000	45802.000000	47227.000000	1425.000000
task57	16781.000000	45802.000000	46517.000000	715.000000
task58	17069.000000	47118.000000	48881.000000	1763.000000
task59	17328.000000	48881.000000	49917.000000	1036.000000
task60	17638.000000	49917.000000	51548.000000	1631.000000
task61	17944.000000	51548.000000	52179.000000	631.000000
task62	18264.000000	52179.000000	53890.000000	1711.000000
task63	18570.000000	53890.000000	55321.000000	1431.000000
task64	18851.000000	55321.000000	56696.000000	1375.000000
task65	19123.000000	56696.000000	57973.000000	1277.000000
task66	19406.000000	57973.000000	59622.000000	1649.000000
task67	19698.000000	59622.000000	61076.000000	1454.000000
task68	20015.000000	61076.000000	61686.000000	610.000000
task69	20343.000000	61076.000000	61909.000000	833.000000
task70	20629.000000	61686.000000	62644.000000	958.000000
task71	20961.000000	62644.000000	63869.000000	1225.000000
task72	21288.000000	63869.000000	65624.000000	1755.000000
task73	21600.000000	65624.000000	67345.000000	1721.000000
task74	21908.000000	67345.000000	68099.000000	754.000000
task75	22209.000000	67345.000000	69047.000000	1702.000000
task76	22506.000000	68099.000000	68884.000000	785.000000
task77	22785.000000	68884.000000	70371.000000	1487.000000
task78	23102.000000	70371.000000	71483.000000	1112.000000
task79	23412.000000	71483.000000	72687.000000	1204.000000
task80	23708.000000	72687.000000	74056.000000	1369.000000
task81	24054.000000	74056.000000	74864.000000	808.000000
task82	24356.000000	74864.000000	76018.000000	1154.000000
task83	24655.000000	74864.000000	75601.000000	737.000000
task84	24939.000000	75601.000000	77344.000000	1743.000000
task85	25239.000000	77344.000000	78205.000000	861.000000
task86	25574.000000	78205.000000	79191.000000	986.000000
task87	25880.000000	79191.000000	80033.000000	842.000000
task88	26154.000000	80033.000000	80965.000000	932.000000
task89	26455.000000	80965.000000	82425.000000	1460.000000
task90	26753.000000	82425.000000	83253.000000	828.000000
task91	27069.000000	83253.000000	84092.000000	839.000000
task92	27375.000000	84092.000000	85108.000000	1016.000000
task93	27659.000000	85108.000000	86533.000000	1425.000000
task94	27974.000000	85108.000000	85772.000000	664.000000
task95	28263.000000	86533.000000	87798.000000	1265.000000
task96	28556.000000	87798.000000	89227.000000	1429.000000
task97	28848.000000	87798.000000	88700.000000	902.000000
task98	29130.000000	89227.000000	90877.000000	1650.000000
task99	29422.000000	90877.000000	92134.000000	1257.000000
task100	29734.000000	92134.000000	93752.000000	1618.000000
